Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
14.03.2022, 11:07:32, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F13DD, 11:07:34, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 11:07:32, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F13DD, 11:07:34, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 11:07:32, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F13DD, 11:07:34, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 11:05:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1376, 11:05:52, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 11:05:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1376, 11:05:52, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 11:05:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1376, 11:05:52, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 11:03:56, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1305, 11:03:58, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 11:03:56, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1305, 11:03:58, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 11:03:56, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1305, 11:03:58, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Answer
14.03.2022, 11:02:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F129F, 11:02:15, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 11:02:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F129F, 11:02:16, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 11:02:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F129F, 11:02:16, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 11:00:20, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F122D, 11:00:22, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 11:00:20, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F122D, 11:00:22, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 11:00:20, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F122D, 11:00:22, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:58:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F11C6, 10:58:40, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:58:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F11C6, 10:58:39, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:58:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F11C6, 10:58:40, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:56:44, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1155, 10:56:46, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:56:44, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1155, 10:56:46, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:56:44, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F1155, 10:56:46, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:55:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F10EF, 10:55:04, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:55:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F10EF, 10:55:05, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:55:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F10EF, 10:55:04, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:53:08, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F107D, 10:53:10, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:53:08, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F107D, 10:53:10, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:53:08, MC-HOVSETER, 2987, Toalett 428, 428, Done, 22 Hovseterhjemmet 4A, No message for alarm 2987, 428, 428, 622F107D, 10:53:10, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
