Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.03.2022, 08:13:37, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454687
31.03.2022, 08:09:43, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624545A4
31.03.2022, 08:09:14, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454587
31.03.2022, 08:09:09, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245457D
31.03.2022, 08:09:02, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245457A
31.03.2022, 08:09:00, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454579
31.03.2022, 08:08:53, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454572
31.03.2022, 08:08:51, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245456B
31.03.2022, 08:08:49, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454567
31.03.2022, 08:08:41, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454564
31.03.2022, 08:08:35, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245455F
31.03.2022, 08:08:33, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245455D
31.03.2022, 08:08:28, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454555
31.03.2022, 08:08:12, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245454A
31.03.2022, 08:08:05, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454542
31.03.2022, 07:56:02, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245426F
31.03.2022, 07:55:57, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245426B
31.03.2022, 07:55:54, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454267
31.03.2022, 07:55:51, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454264
31.03.2022, 07:55:44, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245425E
31.03.2022, 07:55:33, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454253
31.03.2022, 07:55:30, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454250
31.03.2022, 07:55:17, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454243
