Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.03.2022, 05:26:29, MC-HOVSETER, 5098, Detektor 1H4 Avstilling, Alarm_on_success_5023, Done, 61 Avstilling 1H, 4O1;;;;;Sensor;;;6, 4O1;;;;;Sensor;;, 4O1;;;;;Sensor;;, 62451F63
31.03.2022, 04:19:10, MC-HOVSETER, 5098, Detektor 1H4 Avstilling, Alarm_on_success_5023, Done, 61 Avstilling 1H, 4O1;;;;;Sensor;;;6, 4O1;;;;;Sensor;;, 4O1;;;;;Sensor;;, 62450F9C
31.03.2022, 04:18:44, MC-HOVSETER, 5098, Detektor 1H4 Avstilling, Alarm_on_success_5023, Done, 61 Avstilling 1H, 4O1;;;;;Sensor;;;6, 4O1;;;;;Sensor;;, 4O1;;;;;Sensor;;, 62450F82
31.03.2022, 02:40:38, MC-HOVSETER, 5098, Detektor 1H4 Avstilling, Alarm_on_success_5023, Done, 61 Avstilling 1H, 4O1;;;;;Sensor;;;6, 4O1;;;;;Sensor;;, 4O1;;;;;Sensor;;, 6244F884
30.03.2022, 16:44:32, MC-HOVSETER, 5098, Detektor 1H4 Avstilling, Alarm_on_success_5023, Done, 61 Avstilling 1H, 4O1;;;;;Sensor;;;6, 4O1;;;;;Sensor;;, 4O1;;;;;Sensor;;, 62446CCE
30.03.2022, 16:44:13, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446CB9
30.03.2022, 16:40:23, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446BD3
30.03.2022, 16:40:14, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446BCA
30.03.2022, 16:40:11, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446BC7
30.03.2022, 16:40:08, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446BC3
30.03.2022, 16:37:54, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446B3E
30.03.2022, 16:37:51, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446B3B
30.03.2022, 16:37:48, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62446B38
30.03.2022, 11:11:45, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441ECD
30.03.2022, 11:11:41, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441EC6
30.03.2022, 11:10:53, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441E99
30.03.2022, 11:10:49, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441E95
30.03.2022, 10:33:15, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415C6
30.03.2022, 10:33:14, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415C3
30.03.2022, 10:33:09, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624415BB
30.03.2022, 10:33:03, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415B5
30.03.2022, 10:33:02, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624415B4
30.03.2022, 10:33:00, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 624415B1
30.03.2022, 10:32:58, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415AF
30.03.2022, 10:32:51, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415AB
30.03.2022, 10:32:41, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624415A5
30.03.2022, 10:32:29, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441599
30.03.2022, 10:32:24, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441594
30.03.2022, 10:32:19, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244158F
30.03.2022, 10:32:19, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244158E
30.03.2022, 10:32:12, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441588
30.03.2022, 10:30:28, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244151E
30.03.2022, 10:30:26, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244151C
30.03.2022, 10:30:24, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244151B
30.03.2022, 10:30:23, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244151A
30.03.2022, 10:30:05, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441508
30.03.2022, 10:30:05, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441509
30.03.2022, 10:26:55, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244144B
30.03.2022, 10:23:34, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441382
30.03.2022, 10:23:26, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244137A
30.03.2022, 10:23:21, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441375
30.03.2022, 10:23:18, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62441370
30.03.2022, 10:23:17, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244136E
30.03.2022, 10:23:14, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244136C
30.03.2022, 10:23:13, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 6244136D
30.03.2022, 10:20:43, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624412D7
30.03.2022, 10:20:29, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624412C9
30.03.2022, 10:20:26, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 624412C5
30.03.2022, 10:00:37, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440E21
30.03.2022, 10:00:33, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440E1D
30.03.2022, 10:00:30, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440E19
30.03.2022, 10:00:30, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440E1A
30.03.2022, 09:59:44, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440DEB
30.03.2022, 09:59:44, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440DEC
30.03.2022, 09:59:40, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440DE7
30.03.2022, 09:59:36, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440DE3
30.03.2022, 09:59:36, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H4;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 62440DE4
30.03.2022, 09:49:03, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62440B65
30.03.2022, 09:48:59, MC-HOVSETER, 5023, Detektor 1H4 ID: 111, 1H4  111  DCT, Canceled, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62440B61
