Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.01.2022, 19:44:32, MC-HOVSETER, 2217, Anrop 109, 109, Done, 12 Hovseterhjemmet 1C, No message for alarm 2217, 109, 109, 61F82E0A
31.01.2022, 19:42:08, MC-HOVSETER, 2205, Borte 116, 116, Canceled, Empty group, No message for alarm 2205, 116, 116, 61F82D76
31.01.2022, 19:40:58, MC-HOVSETER, 2215, Anrop 107, 107, Canceled, 12 Hovseterhjemmet 1C, No message for alarm 2215, 107, 107, 61F82D2A
31.01.2022, 19:40:56, MC-HOVSETER, 2217, Anrop 109, 109, Done, 12 Hovseterhjemmet 1C, No message for alarm 2217, 109, 109, 61F82D32
31.01.2022, 19:40:55, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82D2C
31.01.2022, 19:40:48, MC-HOVSETER, 2200, Borte 107, 107, Canceled, Empty group, No message for alarm 2200, 107, 107, 61F82D1E
31.01.2022, 19:40:48, MC-HOVSETER, 2200, Borte 107, 107, Canceled, Empty group, No message for alarm 2200, 107, 107, 61F82D29
31.01.2022, 19:40:47, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82D1D
31.01.2022, 19:40:47, MC-HOVSETER, 2200, Borte 107, 107, Canceled, Empty group, No message for alarm 2200, 107, 107, 61F82D1A
31.01.2022, 19:40:41, MC-HOVSETER, 2215, Anrop 107, 107, Done, 12 Hovseterhjemmet 1C, No message for alarm 2215, 107, 107, 61F82D13
31.01.2022, 19:40:38, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82D19
31.01.2022, 19:40:16, MC-HOVSETER, 2230, Assistanse 107, 107, Done, 12 Hovseterhjemmet 1C, No message for alarm 2230, 107, 107, 61F82D04
31.01.2022, 19:40:16, MC-HOVSETER, 2200, Borte 107, 107, Canceled, Empty group, No message for alarm 2200, 107, 107, 61F82D07
31.01.2022, 19:40:12, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82D06
31.01.2022, 19:40:02, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82CFF
31.01.2022, 19:39:22, MC-HOVSETER, 2215, Anrop 107, 107, Done, 12 Hovseterhjemmet 1C, No message for alarm 2215, 107, 107, 61F82CD1
31.01.2022, 19:39:18, MC-HOVSETER, 2200, Borte 107, 107, Canceled, Empty group, No message for alarm 2200, 107, 107, 61F82CD3
31.01.2022, 19:39:17, MC-HOVSETER, 2185, Tilstede 107, 107, Canceled, Empty group, No message for alarm 2185, 107, 107, 61F82CD2
31.01.2022, 19:37:24, MC-HOVSETER, 2217, Anrop 109, 109, Done, 12 Hovseterhjemmet 1C, No message for alarm 2217, 109, 109, 61F82C58
31.01.2022, 08:23:10, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78E5A
31.01.2022, 08:20:37, MC-HOVSETER, 5101, Detektor 1H3 Avstilling, Alarm_on_success_5028, Done, 61 Avstilling 1H, 4B2;;;;;Sensor;;;6, 4B2;;;;;Sensor;;, 4B2;;;;;Sensor;;, 61F78DC3
31.01.2022, 08:18:05, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 61F78D22
31.01.2022, 08:18:05, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78D29
31.01.2022, 08:18:05, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78D26
31.01.2022, 08:17:54, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78D1E
31.01.2022, 08:17:50, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78D1A
31.01.2022, 08:17:42, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78D12
31.01.2022, 08:17:01, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78CE9
31.01.2022, 08:16:54, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78CDF
31.01.2022, 08:16:39, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78CD3
31.01.2022, 08:16:31, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78CC8
31.01.2022, 08:16:31, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78CCB
